update,total_loss,policy_loss,value_loss,entropy
1235,-0.0048,-0.0001,0.0105,0.9937
1236,-0.0081,-0.0001,0.0038,0.9883
1237,-0.0039,0.0002,0.0116,0.9857
1238,-0.0083,-0.0009,0.005,0.9947
1239,0.0026,0.0002,0.0245,0.9888
1240,-0.0013,-0.0003,0.018,0.9946
1241,-0.0076,0.0004,0.0037,0.9914
1242,-0.0042,-0.0,0.0115,0.9917
1243,-0.0021,0.0006,0.0145,0.9913
1244,-0.007,-0.0002,0.0064,1.0062
1245,-0.0092,-0.0004,0.0024,1.0041
1246,-0.0057,0.0001,0.0085,1.0003
1247,-0.004,-0.0006,0.0131,0.9959
1248,0.0042,-0.0001,0.0286,0.991
1249,-0.0073,-0.0006,0.0065,0.9977
1250,-0.0076,-0.0001,0.0049,0.9936
1251,-0.006,0.0001,0.0077,1.0002
1252,-0.006,-0.0002,0.0084,0.9937
1253,-0.0066,0.0001,0.0065,0.9916
1254,-0.0055,-0.0014,0.0116,0.9948
1255,-0.0081,0.0004,0.0032,1.0167
1256,-0.0089,-0.0004,0.0032,1.0138
1257,-0.0007,-0.0001,0.019,1.015
1258,0.0012,-0.0004,0.0235,1.0161
1259,-0.0042,0.0003,0.0111,1.0068
1260,-0.0058,-0.0006,0.0098,1.0105
1261,-0.0092,-0.0005,0.0026,1.0019
